"Date","Price","Open","High","Low","Change %"
"27/02/2025","4.545","4.532","4.546","4.520","0.82%"
"26/02/2025","4.508","4.550","4.591","4.504","-1.04%"
"25/02/2025","4.556","4.652","4.654","4.540","-2.13%"
"24/02/2025","4.655","4.695","4.706","4.642","-0.52%"
"21/02/2025","4.680","4.749","4.752","4.650","-1.43%"
"20/02/2025","4.747","4.768","4.773","4.729","-0.39%"
"19/02/2025","4.766","4.773","4.800","4.751","0.00%"
"18/02/2025","4.765","4.721","4.779","4.712","1.43%"
"14/02/2025","4.698","4.742","4.765","4.664","-0.88%"
"13/02/2025","4.740","4.832","4.833","4.722","-1.89%"
"12/02/2025","4.831","4.752","4.863","4.740","1.70%"
"11/02/2025","4.750","4.723","4.756","4.720","0.85%"
"10/02/2025","4.710","4.691","4.721","4.673","0.36%"
"07/02/2025","4.693","4.639","4.714","4.632","1.15%"
"06/02/2025","4.640","4.639","4.672","4.622","-0.04%"
"05/02/2025","4.642","4.759","4.763","4.626","-2.21%"
"04/02/2025","4.746","4.795","4.834","4.743","-0.76%"
"03/02/2025","4.783","4.796","4.799","4.698","-0.22%"
"31/01/2025","4.793","4.768","4.835","4.750","0.64%"
"30/01/2025","4.763","4.775","4.784","4.727","-0.25%"
"29/01/2025","4.774","4.776","4.819","4.750","-0.06%"
"28/01/2025","4.777","4.780","4.815","4.775","0.16%"
"27/01/2025","4.770","4.823","4.826","4.744","-1.51%"
"24/01/2025","4.843","4.867","4.891","4.840","-0.58%"
"23/01/2025","4.871","4.823","4.892","4.813","0.94%"
"22/01/2025","4.826","4.811","4.833","4.781","0.43%"
"21/01/2025","4.805","4.807","4.826","4.774","-1.01%"
"17/01/2025","4.854","4.861","4.861","4.800","0.00%"
"16/01/2025","4.854","4.879","4.911","4.826","-0.50%"
"15/01/2025","4.878","4.971","4.984","4.857","-1.99%"
"14/01/2025","4.977","4.948","5.005","4.940","0.19%"
"13/01/2025","4.968","4.978","4.992","4.938","0.38%"
"10/01/2025","4.949","4.917","5.005","4.917","0.38%"
"09/01/2025","4.930","4.931","4.934","4.877","-0.03%"
"08/01/2025","4.932","4.917","4.968","4.898","0.39%"
"07/01/2025","4.913","4.850","4.926","4.827","1.33%"
"06/01/2025","4.849","4.836","4.861","4.797","0.72%"
"03/01/2025","4.814","4.768","4.821","4.750","0.69%"
"02/01/2025","4.781","4.788","4.815","4.734","-0.08%"
"31/12/2024","4.785","4.728","4.802","4.717","0.74%"
"30/12/2024","4.750","4.826","4.827","4.750","-1.47%"
"27/12/2024","4.821","4.772","4.825","4.760","1.01%"
"26/12/2024","4.773","4.771","4.819","4.755","0.17%"
"24/12/2024","4.764","4.775","4.819","4.756","-0.27%"
"23/12/2024","4.777","4.725","4.785","4.717","1.17%"
"20/12/2024","4.722","4.729","4.752","4.681","-0.33%"
"19/12/2024","4.738","4.678","4.775","4.668","1.22%"
"18/12/2024","4.680","4.585","4.686","4.571","2.07%"
"17/12/2024","4.585","4.600","4.635","4.565","-0.40%"
"16/12/2024","4.604","4.595","4.627","4.576","0.09%"
"13/12/2024","4.600","4.544","4.622","4.532","1.04%"
"12/12/2024","4.553","4.479","4.559","4.476","1.55%"
"11/12/2024","4.483","4.417","4.485","4.405","1.49%"
"10/12/2024","4.418","4.384","4.435","4.375","0.69%"
"09/12/2024","4.387","4.344","4.392","4.321","1.26%"
"06/12/2024","4.333","4.339","4.354","4.303","-0.02%"
