"DateTime","Active market wallets","Sales USD"
"2024-02-29 00:00:00",1969,10619689.89
"2024-03-01 00:00:00",1886,6932569.32
"2024-03-02 00:00:00",1866,6295207.39
"2024-03-03 00:00:00",2028,13053197.03
"2024-03-04 00:00:00",1987,13344734.78
"2024-03-05 00:00:00",2015,16323282.47
"2024-03-06 00:00:00",2076,16799601.39
"2024-03-07 00:00:00",1971,14903470.61
"2024-03-08 00:00:00",2036,19976859.9
"2024-03-09 00:00:00",1664,10546010.11
"2024-03-10 00:00:00",1578,7423435.83
"2024-03-11 00:00:00",1664,11222710.44
"2024-03-12 00:00:00",1794,13933947.06
"2024-03-13 00:00:00",1769,13166421.11
"2024-03-14 00:00:00",1667,10472517.92
"2024-03-15 00:00:00",1799,7318553.58
"2024-03-16 00:00:00",2379,15162173.69
"2024-03-17 00:00:00",2145,11801111.75
"2024-03-18 00:00:00",1768,7587508.01
"2024-03-19 00:00:00",1575,7845747.35
"2024-03-20 00:00:00",1989,30340008.53
"2024-03-21 00:00:00",2070,12303055.86
"2024-03-22 00:00:00",2354,8586973.75
"2024-03-23 00:00:00",2157,5477344.8
"2024-03-24 00:00:00",2123,5983510.3
"2024-03-25 00:00:00",1984,8552803.62
"2024-03-26 00:00:00",1755,7376274.11
"2024-03-27 00:00:00",1595,8001411.55
"2024-03-28 00:00:00",1598,7849606
"2024-03-29 00:00:00",2052,6220565.41
"2024-03-30 00:00:00",2261,6321988.58
"2024-03-31 00:00:00",2191,7115832.92
"2024-04-01 00:00:00",2182,6548425.02
"2024-04-02 00:00:00",1548,45520379.79
"2024-04-03 00:00:00",1614,8453167.13
"2024-04-04 00:00:00",2100,13305443.19
"2024-04-05 00:00:00",2154,7201689.31
"2024-04-06 00:00:00",2266,7209694.49
"2024-04-07 00:00:00",2061,31056730.44
"2024-04-08 00:00:00",2115,7318479.33
"2024-04-09 00:00:00",1677,24269541.79
"2024-04-10 00:00:00",1883,8687002.73
"2024-04-11 00:00:00",1995,5777834.89
"2024-04-12 00:00:00",1715,8804410.54
"2024-04-13 00:00:00",1830,5874716.13
"2024-04-14 00:00:00",2393,9083402.66
"2024-04-15 00:00:00",2168,7936378.04
"2024-04-16 00:00:00",2267,5761699.38
"2024-04-17 00:00:00",1858,7833735.43
"2024-04-18 00:00:00",1936,8198053.53
"2024-04-19 00:00:00",1885,8246472.01
"2024-04-20 00:00:00",2380,7190581.46
"2024-04-21 00:00:00",2268,5911310.82
"2024-04-22 00:00:00",1992,6012597.77
"2024-04-23 00:00:00",2077,7636368.77
"2024-04-24 00:00:00",1931,6011839.78
"2024-04-25 00:00:00",2243,26463239.45
"2024-04-26 00:00:00",2433,11208696.27
"2024-04-27 00:00:00",2249,4701720.11
"2024-04-28 00:00:00",2161,3806795.82
"2024-04-29 00:00:00",1899,5873974.56
"2024-04-30 00:00:00",1825,6931951.19
"2024-05-01 00:00:00",1502,4805929.74
"2024-05-02 00:00:00",1865,8281770.83
"2024-05-03 00:00:00",1878,4821588.18
"2024-05-04 00:00:00",1620,4452380.68
"2024-05-05 00:00:00",1737,5131193.28
"2024-05-06 00:00:00",1668,4321038.99
"2024-05-07 00:00:00",1689,6715294.33
"2024-05-08 00:00:00",1847,5668558.52
"2024-05-09 00:00:00",1752,4031532.43
"2024-05-10 00:00:00",1705,5330601.46
"2024-05-11 00:00:00",1451,2810445.43
"2024-05-12 00:00:00",1834,4732883.61
"2024-05-13 00:00:00",1538,8209968.81
"2024-05-14 00:00:00",1680,5518287.12
"2024-05-15 00:00:00",1591,5182206.28
"2024-05-16 00:00:00",1621,4672552.14
"2024-05-17 00:00:00",1458,5117862.72
"2024-05-18 00:00:00",1356,2751381.47
"2024-05-19 00:00:00",1362,3100355.51
